,Random,InterleavedRandom,InterleavedNewFirst,InterleavedOldFirst,StochasticLinear,StochasticSquare,StochasticExponential
134,17000.0,17148.0,17216.0,17089.0,50443.0,50364.0,50437.0
135,17000.0,17181.0,17009.0,17010.0,50155.0,50008.0,50327.0
136,17000.0,17038.0,17060.0,17073.0,50088.0,50448.0,50027.0
137,17000.0,17139.0,17222.0,17183.0,50169.0,50120.0,50704.0
138,17000.0,17284.0,17112.0,17011.0,50248.0,50045.0,50772.0
139,17000.0,17047.0,17233.0,17913.0,50392.0,50072.0,50200.0
140,17000.0,17169.0,17276.0,17140.0,50161.0,50048.0,50503.0
141,17000.0,17725.0,17030.0,17110.0,50076.0,50223.0,50158.0
142,17000.0,17186.0,17252.0,17531.0,50347.0,50126.0,50012.0
143,17000.0,17039.0,17241.0,17392.0,50063.0,50045.0,50125.0
144,17000.0,17423.0,17756.0,17008.0,50135.0,50218.0,50136.0
145,17000.0,17433.0,17212.0,17173.0,50031.0,50333.0,50366.0
146,17000.0,17340.0,17075.0,17019.0,50063.0,50697.0,50234.0
147,17000.0,18932.0,17277.0,17022.0,50072.0,50198.0,50146.0
148,17000.0,17171.0,17205.0,17596.0,50237.0,50238.0,50034.0
149,17000.0,17041.0,17096.0,17038.0,50332.0,50353.0,50307.0
150,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
151,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
152,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
153,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
154,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
155,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
156,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
157,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
158,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
159,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
160,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
161,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
162,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
163,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
164,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
165,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
166,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
167,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
168,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
169,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
170,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
171,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
172,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
173,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
174,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
175,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
176,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
177,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
178,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
179,6000.0,6000.0,6000.0,6000.0,50000.0,50000.0,50000.0
180,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
181,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
182,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
